Entry,Entry Name,Gene Names,Protein names,Organism,Length,Function [CC],Involvement in disease,search_keyword
A1KXE4,F168B_HUMAN,FAM168B KIAA0280L MANI,Myelin-associated neurite-outgrowth inhibitor (Mani) (p20),Homo sapiens (Human),195,FUNCTION: Inhibitor of neuronal axonal outgrowth. Acts as a negative regulator of CDC42 and STAT3 and a positive regulator of STMN2. Positive regulator of CDC27. {ECO:0000250|UniProtKB:D4AEP3}.,,Alzheimer
A4D1B5,GSAP_HUMAN,GSAP PION,Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)],Homo sapiens (Human),854,"FUNCTION: Regulator of gamma-secretase activity, which specifically activates the production of amyloid-beta protein (amyloid-beta protein 40 and amyloid-beta protein 42), without affecting the cleavage of other gamma-secretase targets such has Notch. The gamma-secretase complex is an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors and APP (amyloid-beta precursor protein). Specifically promotes the gamma-cleavage of APP CTF-alpha (also named APP-CTF) by the gamma-secretase complex to generate amyloid-beta, while it reduces the epsilon-cleavage of APP CTF-alpha, leading to a low production of AICD. {ECO:0000269|PubMed:20811458}.",,Alzheimer
B2RQR8,ECE2_MOUSE,Ece2,Endothelin-converting enzyme 2 (ECE-2) (EC 3.4.24.71),Mus musculus (Mouse),763,"FUNCTION: Converts big endothelin-1 to endothelin-1. Also involved in the processing of various neuroendocrine peptides, including neurotensin, angiotensin I, substance P, proenkephalin-derived peptides, and prodynorphin-derived peptides (By similarity). May play a role in amyloid-beta processing (PubMed:12464614). {ECO:0000250|UniProtKB:P0DPD6, ECO:0000269|PubMed:12464614}.",,Alzheimer
D4A2H2,SPTC1_RAT,Sptlc1 Lcb1 rCG_44191,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),Rattus norvegicus (Rat),473,"FUNCTION: Component of the serine palmitoyltransferase multisubunit enzyme (SPT) that catalyzes the initial and rate-limiting step in sphingolipid biosynthesis by condensing L-serine and activated acyl-CoA (most commonly palmitoyl-CoA) to form long-chain bases. The SPT complex is also composed of SPTLC2 or SPTLC3 and SPTSSA or SPTSSB. Within this complex, the heterodimer with SPTLC2 or SPTLC3 forms the catalytic core. The composition of the serine palmitoyltransferase (SPT) complex determines the substrate preference. The SPTLC1-SPTLC2-SPTSSA complex shows a strong preference for C16-CoA substrate, while the SPTLC1-SPTLC3-SPTSSA isozyme uses both C14-CoA and C16-CoA as substrates, with a slight preference for C14-CoA. The SPTLC1-SPTLC2-SPTSSB complex shows a strong preference for C18-CoA substrate, while the SPTLC1-SPTLC3-SPTSSB isozyme displays an ability to use a broader range of acyl-CoAs, without apparent preference (By similarity). Required for adipocyte cell viability and metabolic homeostasis (By similarity). {ECO:0000250|UniProtKB:O15269, ECO:0000250|UniProtKB:O35704}.",,Alzheimer
E0CYC6,NAT8B_MOUSE,Nat8b-ps Cml2,N-acetyltransferase 8B (EC 2.3.1.-) (Acetyltransferase 1) (ATase1) (Camello-like protein 2) (Protein-lysine N6-acetyltransferase 8B),Mus musculus (Mouse),232,"FUNCTION: Endoplasmic reticulum (ER)-membrane-bound lysine N-acetyltransferase catalyzing the N6-acetylation of lysine residues in the lumen of the ER in various proteins, including PROM1 and BACE1, using acetyl-CoA as acetyl donor. Thereby, may regulate apoptosis through the acetylation and the regulation of the expression of PROM1. Acetylates and stabilizes BACE1 immature protein, leading to increased steady-state levels in neurons. By acting on BACE1 expression, may regulate amyloid beta-peptide formation (By similarity). N(6)-lysine acetylation in ER maintains protein homeostasis and regulates reticulophagy (PubMed:33846551). {ECO:0000250|UniProtKB:Q9UHF3, ECO:0000269|PubMed:33846551}.",,Alzheimer
I1RL14,DPFGD_GIBZE,dpfgD FG04591 FGRAMPH1_01T15653,"Geranylgeranyl pyrophosphate synthase dpfgD (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Diterpenoid pyrone biosynthesis cluster protein D) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)",Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),368,"FUNCTION: Geranylgeranyl pyrophosphate synthase; part of the gene cluster that mediates the biosynthesis of diterpenoid pyrones (PubMed:32286350, PubMed:37504684). The first step of the pathway is the synthesis of the alpha-pyrone moiety by the polyketide synthase dpfgA via condensation of one acetyl-CoA starter unit with 3 malonyl-CoA units and 2 methylations (Probable). The alpha-pyrone is then combined with geranylgeranyl pyrophosphate (GGPP) formed by the GGPP synthase dpfgD through the action of the prenyltransferase dpfgC to yield a linear alpha-pyrone diterpenoid (Probable). Subsequent steps in the diterpenoid pyrone biosynthetic pathway involve the decalin core formation, which is initiated by the epoxidation of the C10-C11 olefin by the FAD-dependent oxidoreductase dpfgE, and is followed by a cyclization cascade catalyzed by the terpene cyclase dpfgB (Probable). The short chain dehydrogenase/reductase dpfgG then oxidizes the 8S hydroxy group to a ketone and the short chain dehydrogenase/reductase dpfgH reduces the ketone to the 8R hydroxy group to yield higginsianin B (PubMed:32286350). Higginsianin B is further methylated by the methyltransferase dpfgI to produce the intermediate named FDDP B (PubMed:32286350). The cytochrome P450 monooxygenase dfgpJ then catalyzes a three-step oxidation at C-27 to generate a carboxylic acid as well as C-26 hydroxylation (PubMed:32286350). Finally, methyltransferase dpfgK methylates the carboxylic acid generated by dpfgJ, yielding the final diterpenoid pyrones from the pathway which were named FDDP D and FDDP E (PubMed:32286350). {ECO:0000269|PubMed:32286350, ECO:0000269|PubMed:37504684, ECO:0000305|PubMed:32286350}.",,Alzheimer
O00189,AP4M1_HUMAN,AP4M1 MUARP2,AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4),Homo sapiens (Human),453,"FUNCTION: Component of the adaptor protein complex 4 (AP-4). Adaptor protein complexes are vesicle coat components involved both in vesicle formation and cargo selection. They control the vesicular transport of proteins in different trafficking pathways (PubMed:10066790, PubMed:10436028, PubMed:11139587, PubMed:11802162, PubMed:20230749). AP-4 forms a non clathrin-associated coat on vesicles departing the trans-Golgi network (TGN) and may be involved in the targeting of proteins from the trans-Golgi network (TGN) to the endosomal-lysosomal system (PubMed:11139587, PubMed:20230749). It is also involved in protein sorting to the basolateral membrane in epithelial cells and the proper asymmetric localization of somatodendritic proteins in neurons (By similarity). Within AP-4, the mu-type subunit AP4M1 is directly involved in the recognition and binding of tyrosine-based sorting signals found in the cytoplasmic part of cargos (PubMed:10436028, PubMed:11139587, PubMed:20230749, PubMed:26544806). The adaptor protein complex 4 (AP-4) may also recognize other types of sorting signal (By similarity). {ECO:0000250|UniProtKB:E2RED8, ECO:0000250|UniProtKB:Q2PWT8, ECO:0000250|UniProtKB:Q9JKC7, ECO:0000269|PubMed:10066790, ECO:0000269|PubMed:10436028, ECO:0000269|PubMed:11139587, ECO:0000269|PubMed:11802162, ECO:0000269|PubMed:20230749, ECO:0000269|PubMed:26544806}.","DISEASE: Spastic paraplegia 50, autosomal recessive (SPG50) [MIM:612936]: A form of spastic paraplegia, a neurodegenerative disorder characterized by a slow, gradual, progressive weakness and spasticity of the lower limbs. Rate of progression and the severity of symptoms are quite variable. Initial symptoms may include difficulty with balance, weakness and stiffness in the legs, muscle spasms, and dragging the toes when walking. In some forms of the disorder, bladder symptoms (such as incontinence) may appear, or the weakness and stiffness may spread to other parts of the body. SPG50 affected individuals present postnatally with early infantile hypotonia, delayed psychomotor development, strabismus, lack of independent walking and severe intellectual disability. They develop progressive spasticity of all limbs with generalized hypertonia, hyperreflexia, and extensor plantar responses by the end of the first year of life. Speech is absent or limited. Pseudobulbar signs, such as drooling, stereotypic laughter, and exaggerated jaw jerk, are part of the clinical picture. {ECO:0000269|PubMed:19559397}. Note=The disease is caused by variants affecting the gene represented in this entry.",Alzheimer
O00213,APBB1_HUMAN,APBB1 FE65 RIR,Amyloid beta precursor protein binding family B member 1 (Amyloid-beta A4 precursor protein-binding family B member 1) (Protein Fe65),Homo sapiens (Human),710,"FUNCTION: Transcription coregulator that can have both coactivator and corepressor functions (PubMed:15031292, PubMed:18468999, PubMed:18922798, PubMed:25342469, PubMed:33938178). Adapter protein that forms a transcriptionally active complex with the gamma-secretase-derived amyloid precursor protein (APP) intracellular domain (PubMed:15031292, PubMed:18468999, PubMed:18922798, PubMed:25342469). Plays a central role in the response to DNA damage by translocating to the nucleus and inducing apoptosis (PubMed:15031292, PubMed:18468999, PubMed:18922798, PubMed:25342469). May act by specifically recognizing and binding histone H2AX phosphorylated on 'Tyr-142' (H2AXY142ph) at double-strand breaks (DSBs), recruiting other pro-apoptosis factors such as MAPK8/JNK1 (PubMed:19234442). Required for histone H4 acetylation at double-strand breaks (DSBs) (PubMed:19234442). Its ability to specifically bind modified histones and chromatin modifying enzymes such as KAT5/TIP60, probably explains its transcription activation activity (PubMed:33938178). Functions in association with TSHZ3, SET and HDAC factors as a transcriptional repressor, that inhibits the expression of CASP4 (PubMed:19343227). Associates with chromatin in a region surrounding the CASP4 transcriptional start site(s) (PubMed:19343227). Involved in hippocampal neurite branching and neuromuscular junction formation, as a result plays a role in spatial memory functioning (By similarity). Plays a role in the maintenance of lens transparency (By similarity). May play a role in muscle cell strength (By similarity). Acts as a molecular adapter that functions in neurite outgrowth by activating the RAC1-ARF6 axis upon insulin treatment (PubMed:36250347). {ECO:0000250|UniProtKB:Q9QXJ1, ECO:0000269|PubMed:15031292, ECO:0000269|PubMed:18468999, ECO:0000269|PubMed:18922798, ECO:0000269|PubMed:19234442, ECO:0000269|PubMed:19343227, ECO:0000269|PubMed:25342469, ECO:0000269|PubMed:33938178, ECO:0000269|PubMed:36250347}.",,Alzheimer
O00429,DNM1L_HUMAN,DNM1L DLP1 DRP1,Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1),Homo sapiens (Human),736,"FUNCTION: Functions in mitochondrial and peroxisomal division (PubMed:11514614, PubMed:12499366, PubMed:17301055, PubMed:17460227, PubMed:17553808, PubMed:18695047, PubMed:18838687, PubMed:19342591, PubMed:19411255, PubMed:19638400, PubMed:23283981, PubMed:23530241, PubMed:23921378, PubMed:26992161, PubMed:27145208, PubMed:27145933, PubMed:27301544, PubMed:27328748, PubMed:29478834, PubMed:32439975, PubMed:32484300, PubMed:9570752, PubMed:9786947). Mediates membrane fission through oligomerization into membrane-associated tubular structures that wrap around the scission site to constrict and sever the mitochondrial membrane through a GTP hydrolysis-dependent mechanism (PubMed:23530241, PubMed:23584531, PubMed:33850055). The specific recruitment at scission sites is mediated by membrane receptors like MFF, MIEF1 and MIEF2 for mitochondrial membranes (PubMed:23283981, PubMed:23921378, PubMed:29899447). While the recruitment by the membrane receptors is GTP-dependent, the following hydrolysis of GTP induces the dissociation from the receptors and allows DNM1L filaments to curl into closed rings that are probably sufficient to sever a double membrane (PubMed:29899447). Acts downstream of PINK1 to promote mitochondrial fission in a PRKN-dependent manner (PubMed:32484300). Plays an important role in mitochondrial fission during mitosis (PubMed:19411255, PubMed:26992161, PubMed:27301544, PubMed:27328748). Through its function in mitochondrial division, ensures the survival of at least some types of postmitotic neurons, including Purkinje cells, by suppressing oxidative damage (By similarity). Required for normal brain development, including that of cerebellum (PubMed:17460227, PubMed:26992161, PubMed:27145208, PubMed:27301544, PubMed:27328748). Facilitates developmentally regulated apoptosis during neural tube formation (By similarity). Required for a normal rate of cytochrome c release and caspase activation during apoptosis; this requirement may depend upon the cell type and the physiological apoptotic cues (By similarity). Required for formation of endocytic vesicles (PubMed:20688057, PubMed:23792689, PubMed:9570752). Proposed to regulate synaptic vesicle membrane dynamics through association with BCL2L1 isoform Bcl-X(L) which stimulates its GTPase activity in synaptic vesicles; the function may require its recruitment by MFF to clathrin-containing vesicles (PubMed:17015472, PubMed:23792689). Required for programmed necrosis execution (PubMed:22265414). Rhythmic control of its activity following phosphorylation at Ser-637 is essential for the circadian control of mitochondrial ATP production (PubMed:29478834). {ECO:0000250|UniProtKB:Q8K1M6, ECO:0000269|PubMed:11514614, ECO:0000269|PubMed:12499366, ECO:0000269|PubMed:17015472, ECO:0000269|PubMed:17301055, ECO:0000269|PubMed:17460227, ECO:0000269|PubMed:17553808, ECO:0000269|PubMed:18695047, ECO:0000269|PubMed:18838687, ECO:0000269|PubMed:19342591, ECO:0000269|PubMed:19411255, ECO:0000269|PubMed:19638400, ECO:0000269|PubMed:20688057, ECO:0000269|PubMed:22265414, ECO:0000269|PubMed:23283981, ECO:0000269|PubMed:23530241, ECO:0000269|PubMed:23584531, ECO:0000269|PubMed:23792689, ECO:0000269|PubMed:23921378, ECO:0000269|PubMed:26992161, ECO:0000269|PubMed:27145208, ECO:0000269|PubMed:27145933, ECO:0000269|PubMed:27301544, ECO:0000269|PubMed:27328748, ECO:0000269|PubMed:29478834, ECO:0000269|PubMed:29899447, ECO:0000269|PubMed:32439975, ECO:0000269|PubMed:32484300, ECO:0000269|PubMed:33850055, ECO:0000269|PubMed:9570752, ECO:0000269|PubMed:9786947}.; FUNCTION: [Isoform 1]: Inhibits peroxisomal division when overexpressed. {ECO:0000269|PubMed:12618434}.; FUNCTION: [Isoform 4]: Inhibits peroxisomal division when overexpressed. {ECO:0000269|PubMed:12618434}.","DISEASE: Note=May be associated with Alzheimer disease through amyloid-beta-induced increased S-nitrosylation of DNM1L, which triggers, directly or indirectly, excessive mitochondrial fission, synaptic loss and neuronal damage. {ECO:0000269|PubMed:19342591}.; DISEASE: Encephalopathy due to defective mitochondrial and peroxisomal fission 1 (EMPF1) [MIM:614388]: A rare autosomal dominant systemic disorder resulting in lack of neurologic development and death in infancy. After birth, infants present in the first week of life with poor feeding and neurologic impairment, including hypotonia, little spontaneous movement, no tendon reflexes, no response to light stimulation, and poor visual fixation. Other features include mildly elevated plasma concentration of very-long-chain fatty acids, lactic acidosis, microcephaly, deep-set eyes, optic atrophy and hypoplasia, and an abnormal gyral pattern in both frontal lobes associated with dysmyelination. {ECO:0000269|PubMed:17460227, ECO:0000269|PubMed:26604000, ECO:0000269|PubMed:26992161, ECO:0000269|PubMed:27145208, ECO:0000269|PubMed:27301544, ECO:0000269|PubMed:27328748, ECO:0000269|PubMed:29899447}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Optic atrophy 5 (OPA5) [MIM:610708]: A form of optic atrophy, a disease characterized by progressive visual loss in association with a deficiency in the number of nerve fibers which arise in the retina and converge to form the optic disk, optic nerve, optic chiasm and optic tracts. OPA5 is an autosomal dominant non-syndromic form that manifests as slowly progressive visual loss with variable onset from the first to third decades. Additional ocular abnormalities may include central scotoma and dyschromatopsia. {ECO:0000269|PubMed:28969390}. Note=The disease is caused by variants affecting the gene represented in this entry.",Alzheimer
O00499,BIN1_HUMAN,BIN1 AMPHL,Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1),Homo sapiens (Human),593,"FUNCTION: Is a key player in the control of plasma membrane curvature, membrane shaping and membrane remodeling. Required in muscle cells for the formation of T-tubules, tubular invaginations of the plasma membrane that function in depolarization-contraction coupling (PubMed:24755653). Is a negative regulator of endocytosis (By similarity). Is also involved in the regulation of intracellular vesicles sorting, modulation of BACE1 trafficking and the control of amyloid-beta production (PubMed:27179792). In neuronal circuits, endocytosis regulation may influence the internalization of PHF-tau aggregates (By similarity). May be involved in the regulation of MYC activity and the control cell proliferation (PubMed:8782822). Has actin bundling activity and stabilizes actin filaments against depolymerization in vitro (PubMed:28893863). {ECO:0000250|UniProtKB:O08839, ECO:0000269|PubMed:24755653, ECO:0000269|PubMed:27179792, ECO:0000269|PubMed:28893863, ECO:0000269|PubMed:8782822}.","DISEASE: Myopathy, centronuclear, 2 (CNM2) [MIM:255200]: A congenital muscle disorder characterized by progressive muscular weakness and wasting involving mainly limb girdle, trunk, and neck muscles. It may also affect distal muscles. Weakness may be present during childhood or adolescence or may not become evident until the third decade of life. Ptosis is a frequent clinical feature. The most prominent histopathologic features include high frequency of centrally located nuclei in muscle fibers not secondary to regeneration, radial arrangement of sarcoplasmic strands around the central nuclei, and predominance and hypotrophy of type 1 fibers. {ECO:0000269|PubMed:17676042, ECO:0000269|PubMed:20142620, ECO:0000269|PubMed:24755653, ECO:0000269|PubMed:29950440}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=BIN1 mutations have been found in families segregating autosomal dominant centronuclear myopathy. Patients show adult-onset, mildly progressive muscle weakness affecting selected proximal muscles and all distal muscles of the lower limbs. {ECO:0000269|PubMed:25260562}.",Alzheimer
